number,previousName,currentName,address
5A001,新康大楼,新康大楼,江西中路260号，九江路151号,1930,四,,,
5A002,江海南关办公楼,住宅,外马路348号,1922,二,,,
5A003,仁记路119号大楼,住宅,四川中路420号，滇池路119号,1906,三,,,
5A004,道达大楼,珠江大楼,江西中路320号,1915年,三,,,
5A005,公和洋行大楼,华德大楼,四川中路650号,1920年代,三,,,
5A006,礼和大楼,办公楼,四川中路670号,不详,三,,,
5A007,海青大楼/美国陆海军青年会,锦江之星,四川中路630号,不详,三,,,
5A008,华德大楼,住宅,四川中路620号,1926,三,,,
5A009,北京公寓,住宅,北京东路163号,不详,三,,,
5A010,广协书局大楼,住宅,四川中路528号,不详,三,,,
5A011,住宅,住宅,南昌路107号,1930,三,,,
5A012,住宅,住宅,思南路36号,不详,二,,,
5A013,住宅,住宅,皋兰路12号,不详,三,,,
5A014,光远坊,住宅,北京西路256号,不详,二,,,
5A015,复昌仓库、卓成洋行栈房,中山小区,广东路131弄,不详,三,,,
5A016,长丰木行、协隆申庄、永隆号、大中织造厂,住宅,泗泾路28号,1910年代,三,,,
5A017,聚兴诚银行大楼,办公,江西中路250号,1940,三,,,
5A018,上海纱业银行大楼,延安东路134-150号楼,延安东路134-150号,不详,三,,,
5A019,五洲大楼,办公,河南中路220号,1937,三,,,
5A020,马立斯新村,住宅,武胜路429号,1932,三,,,
5A021,都城饭店（东楼）,商业,福州路106号,1934,三,,,
5A022,浙江实业银行大楼,商业,福州路107号,不详,二,,,
5A023,广东银行,办公楼,宁波路52号,1934,三,,,
5A024,英商上海电车公司大楼,办公楼,南苏州路185号,1908,三,,,
5A025,上海中国实业银行总部大楼,中实大楼,北京东路130号,1929,二,,,
5A026,原教会公寓,新天安堂等,南苏州路79号,1899,二,,,
5A027,住宅,住宅,皋兰路28号,1920年代,二,,,
5A028,中央商场,中央商场,四川中路355号,1930,四,,,
5A029,美伦大楼（东）,美伦大楼（东楼）,南京东路151号,1930,四,,,
5A030,美伦大楼（西楼、南楼）,美伦大楼（西楼）,南京东路161号,1930,四,,,
5A031,大生公司大楼,大生公司大楼,九江路230号,1920,三,,,
5A032,新普育堂,公益新天地及民政博物馆,普育西路105号,1913,三,,,
5A033,应公馆,住宅,凤阳路338弄,1930年代,二,,,
5A034,华侨大楼,华侨大楼,九江路120号,1930,四,,,
5A035,美商卫利韩公司,办公楼,福州路37号,1930年代,三,,,
5A036,中孚银行大楼,中国建设银行,滇池路103号,1922,三,,,
5A037,原荣氏家族三新公司总部大楼,中新公司大楼,江西中路421号,1921,二,,,
5A038,德国邮局,办公楼,四川中路200号（另有路牌：福州路60、70号）,1905,三,,,
5A039,Bank of chosen/上海市直接税局,办公楼,四川中路330号,不详,二,,,
5A040,老介福绸缎局,办公楼,南京东路257号,1935,二,,,
5A041,惠罗公司大楼,惠罗公司大楼,南京东路100号,1906,三,,,
5A042,公平大楼,华懋和平大厦,滇池路105号,1921,三,,,
5A043,SHELL汽车公司、美灵登有限公司、永实业有限公司,凯恩宾馆,香港路117号,1919,三,,,
5A044,谦信洋行、汉成洋行、亚洲花边厂等,圆明园公寓,圆明园路115号,1904,三,,,
5A045,基督教协进会大楼,协进大楼,圆明园路169号,1923,三,,,
5A046,泰昌木器公司,上海卧室用品有限公司,南京东路740号,1921,三,,,
5A047,大方饭店,锦江之星酒店,福建南路33号,1933,四,,,
5A048,世界书局,外文书店,福州路390号,1932,四,,,
5A049,"仓库货栈/章华毛绒纺织公司上海货栈、
中国垦业银行仓库","南苏州路979
号仓库",南苏州路991号,1929,三,,,
5A050,仓库货栈/章华毛绒纺织公司上海货栈 、中国垦业银行仓库,南苏州路955号仓库,南苏州路955号,1929,三,,,
5A051,住宅,住宅,绍兴路25号,1933,三,,,
5A052,住宅,卢湾市容管理局瑞金二路街道管理所,陕西南路191-197号,1929,三,,,
5A053,住宅,住宅,绍兴路1号，3号；瑞金二路158号，148号，146号,1930年代,三,,,
5A054,住宅,住宅,复兴中路599号,1920年代,三,,,
5A055,住宅,住宅,复兴中路563号,1920年代,三,,,
5A056,住宅,住宅,合肥路592弄,1920,三,,,
5A057,住宅,住宅,巨鹿路314号,1929,三,,,
5A058,住宅,住宅,长乐路272弄14号,1920年代,三,,,
5A059,住宅,住宅,思南路48号,1918,三,,,
